City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
493,Thinadhoo,MV,78.4,overcast clouds,0.5333,72.9333,"Chambres d'hôte ""La Trinité"""
496,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
497,Liwale,TZ,83.3,clear sky,-9.7667,37.9333,Tumaini Tulivu Lodge
499,Dauriya,RU,80.69,overcast clouds,49.9333,116.8667,"Chambres d'hôte ""La Trinité"""
500,Terskaya,RU,84.61,scattered clouds,43.7238,44.7244,Inn Korona
501,Akyab,MM,83.53,moderate rain,20.15,92.9,Hotel Memory
502,Lorengau,PG,82.31,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
503,Raymondville,US,81.09,clear sky,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
505,Butembo,CD,77.18,broken clouds,0.15,29.2833,Hotel Butembo
506,Zheleznodorozhnyy,RU,75.72,scattered clouds,55.7503,38.0042,Hotel Dali
508,Bambanglipuro,ID,78.08,broken clouds,-7.95,110.2833,Puri Brata
509,Tabou,CI,79.84,overcast clouds,4.423,-7.3528,hotêl doufoulougou
511,Kharhial,IN,88.9,overcast clouds,20.2833,82.7667,Jeevan Chhaya
512,Mtimbira,TZ,78.31,light rain,-8.7833,36.35,"Chambres d'hôte ""La Trinité"""
516,Okulovka,RU,78.12,few clouds,58.4008,33.2908,Motel' Flagman
518,Gorontalo,ID,78.66,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
519,Rey Bouba,CM,83.05,light rain,8.6724,14.1786,"Chambres d'hôte ""La Trinité"""
521,Nacala,MZ,81.72,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
523,Phichit,TH,81.0,overcast clouds,16.25,100.4167,Rommakham Homestay
524,Biak,ID,77.2,broken clouds,-0.9131,122.8766,Penginapan Kim
527,Kantang,TH,86.09,few clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
530,Ambon,ID,78.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
532,Noumea,NC,78.78,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
533,Kaya,BF,83.37,overcast clouds,13.0917,-1.0844,Maison de l'appelé
535,Nilanga,IN,79.63,overcast clouds,18.1,76.7667,Shruti nilanga rice and vada pav and tea centre
536,Navolato,MX,84.13,overcast clouds,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
538,Ambulu,ID,78.08,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
543,Iralaya,HN,79.66,overcast clouds,15.0,-83.2333,Iglesia morava renovada
544,Alnavar,IN,81.5,overcast clouds,15.4333,74.7333,Shri Manjunath hotel
545,Rodino,RU,77.9,broken clouds,52.5,80.25,Hotel
549,Nishihara,JP,86.05,broken clouds,26.1842,127.7558,Minshuku Agaihama
551,Acapulco,MX,80.42,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
552,Samarai,PG,81.28,clear sky,-10.6167,150.6667,Nuli Sapi
555,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
558,Jawar,IN,75.47,moderate rain,23.0,76.5,Sree balaji
559,Bardiyah,LY,85.21,clear sky,31.7561,25.0865,بورتو بردية
560,Cabo San Lucas,MX,83.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
562,Isangel,VU,75.76,scattered clouds,-19.55,169.2667,Tanna Lodge
568,Massaguet,TD,88.34,overcast clouds,12.4755,15.4365,Alwatane
570,Amahai,ID,76.3,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
574,Basco,PH,86.77,broken clouds,20.4487,121.9702,Nathaniel's Lodge
578,Mattru,SL,77.94,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
580,Kimbe,PG,77.76,light rain,-5.5502,150.1429,Kimbe Bay Hotel
581,Santarem,BR,80.73,scattered clouds,-2.4431,-54.7083,Hotel Imperador
584,Svetlogorsk,BY,75.36,clear sky,52.6333,29.7333,Hotel Svetlogorsk JBIK
592,Plock,PL,83.37,overcast clouds,52.5468,19.7064,HERMAN
594,Umred,IN,86.29,light rain,20.85,79.3333,"Dr.Babasaheb Ambedkar Goverment Boys Hostel ,Umred"
596,Ajdabiya,LY,88.54,clear sky,30.7554,20.2263,Almadina Hotel
598,Nakamura,JP,77.52,clear sky,32.9833,132.9333,Hotel Crown Hills Nakamura
601,Wajid,SO,81.55,overcast clouds,3.8093,43.2471,xamdihotelresturant114
604,Alugan,PH,82.22,scattered clouds,12.2188,125.4808,JM Lodge
614,Cherepovets,RU,78.62,scattered clouds,59.1333,37.9,"Hotel ""Visit"""
615,Brodokalmak,RU,77.9,scattered clouds,55.5748,62.082,Stoybishche. Lesnaya Stoyanka
617,Cherusti,RU,77.0,broken clouds,55.5498,40.0107,"Chambres d'hôte ""La Trinité"""
622,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
623,Hargeysa,SO,80.19,scattered clouds,9.56,44.065,City Center Hotel
624,Hobyo,SO,81.18,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
631,Capissayan,PH,84.22,clear sky,18.0509,121.8177,"Chambres d'hôte ""La Trinité"""
637,Kingisepp,RU,82.0,overcast clouds,59.3733,28.6134,Narva
643,Gamba,GA,75.63,overcast clouds,-2.65,10.0,"Chambres d'hôte ""La Trinité"""
644,Lasa,IT,84.69,clear sky,46.6166,10.7002,Pension Feldgärtenhof
646,Bougouni,ML,79.29,moderate rain,11.417,-7.479,Non Stop
650,Uvalde,US,77.32,overcast clouds,29.3669,-99.767,"Chambres d'hôte ""La Trinité"""
651,Marsh Harbour,BS,82.4,clear sky,26.5412,-77.0636,Abaco Beach Resort
652,Peniche,PT,78.3,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
653,Banda Aceh,ID,85.03,moderate rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
